unique_id,ds,y_hat
junction_1,2017-07-01 00:00:00,69.90886754578821
junction_1,2017-07-01 01:00:00,57.368875004822385
junction_1,2017-07-01 02:00:00,46.24317874869133
junction_1,2017-07-01 03:00:00,38.773472743462456
junction_1,2017-07-01 04:00:00,34.02216241430166
junction_1,2017-07-01 05:00:00,31.36833857956919
junction_1,2017-07-01 06:00:00,32.630296782791206
junction_1,2017-07-01 07:00:00,37.95975126147522
junction_1,2017-07-01 08:00:00,42.65576991907981
junction_1,2017-07-01 09:00:00,48.12045346665298
junction_1,2017-07-01 10:00:00,54.76873937811416
junction_1,2017-07-01 11:00:00,63.34405536686762
junction_1,2017-07-01 12:00:00,63.01841229486626
junction_1,2017-07-01 13:00:00,59.569174493621375
junction_1,2017-07-01 14:00:00,60.69128017640624
junction_1,2017-07-01 15:00:00,56.08376475694937
junction_1,2017-07-01 16:00:00,57.78405253737615
junction_1,2017-07-01 17:00:00,56.87016601045871
junction_1,2017-07-01 18:00:00,61.28811957475089
junction_1,2017-07-01 19:00:00,65.60863919937948
junction_1,2017-07-01 20:00:00,68.01370675954495
junction_1,2017-07-01 21:00:00,64.74712572935476
junction_1,2017-07-01 22:00:00,63.088406573518206
junction_1,2017-07-01 23:00:00,61.22298968657651
